experiment,scores
exp_2,0.57714286
exp_2,0.43285714
exp_2,0.51714286
exp_2,0.50142857
exp_2,0.43428571
exp_2,0.32857143
exp_2,0.57142857
exp_2,0.54
exp_2,0.32571429
exp_2,0.54285714
exp_2,0.60857143
exp_2,0.36428571
exp_2,0.53
exp_2,0.43714286
exp_2,0.37857143
exp_2,0.62142857
exp_2,0.57428571
exp_2,0.55142857
exp_2,0.40142857
exp_2,0.41285714
exp_2,0.48
exp_ctrl,0.5385714285714286
exp_ctrl,0.4771428571428571
exp_ctrl,0.4571428571428571
exp_ctrl,0.5742857142857143
exp_ctrl,0.6585714285714285
exp_ctrl,0.20857142857142855
exp_ctrl,0.41285714285714287
exp_ctrl,0.5757142857142857
exp_ctrl,0.6314285714285713
exp_ctrl,0.547142857142857
exp_ctrl,0.7214285714285714
exp_ctrl,0.6657142857142857
exp_ctrl,0.5714285714285714
exp_ctrl,0.7385714285714287
exp_ctrl,0.6442857142857144
exp_ctrl,0.44714285714285706
exp_ctrl,0.44714285714285706
exp_ctrl,0.4957142857142857
exp_ctrl,0.5785714285714285
exp_ctrl,0.4957142857142857
exp_ctrl,
