"","speed","intercept","acoustic_rate","phonemic_rate","syllabic_rate","phonemic_information_rate","syllabic_information_rate","static_lexical_surprise","contextual_lexical_surprise"
"1",5,0.0975510204081582,-0.00303181695787136,-0.00254384306994153,-0.0316454468020338,-0.00897251243623679,0.00205539338796072,-0.00818754825146262,-0.023941441259004
"2",4.5,0.177551020408172,-0.0144748365306467,0.000738984705742738,-0.0471379636442208,-0.0107124762094882,0.000655352099634897,-0.00461672035854029,-0.0436849717684323
"3",4,0.295714285714295,-0.0233315791576058,0.00209758670893501,-0.0430007300095863,-0.003121780786112,-0.00925368749607863,-0.0118120782690087,-0.0762926373661
"4",3.5,0.482448979591835,-0.0204049401692084,-0.0107214440242094,-0.0403646046962223,-0.00367842113251606,-0.0171043829401779,-0.0274794647141069,-0.0939622767743864
"5",3,0.727891156462598,-0.00852397958295078,-0.00649551431479777,-0.0163785216927556,0.00163165565896324,-0.0213405758796292,-0.0185216695797026,-0.07511899923786
"6",2.5,0.911428571428583,0.000701040719580321,-0.00775104641987408,0.00348125980489384,-0.000338901879318597,-0.00503144505332498,-0.00614101614428881,-0.0306609539591225
"7",2,0.990272108843539,-0.00057175366757258,-0.00121864975653382,0.000390169152434888,-0.00033601410862462,-0.00303047704190044,-0.00379786692896719,-0.00521638870953586
