trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env,GPT2-small-fr/s
1.0,1247.0,25.55366269165248,62.46450880181714,1669.429184852357,730.4912192220334,39.2951500667945,35.28839133609151,8.517887563884155,5.079048694620144,0.3522,suj_1,0.5714285714285714,5.0,22.5,13.087670414506004
1.0,1247.0,22.99829642248723,56.21805792163543,1502.486266367121,657.44209729983,35.365635060115046,31.75955220248236,7.66609880749574,4.57114382515813,0.3913333333333333,suj_1,0.4285714285714285,4.5,20.25,11.778903373055403
1.0,1247.0,20.44293015332198,49.97160704145372,1335.5433478818854,584.3929753776267,31.4361200534356,28.230713068873204,6.8143100511073245,4.063238955696115,0.44025,suj_1,0.4285714285714285,4.0,18.0,10.470136331604802
1.0,1247.0,17.887563884156734,43.725156161272,1168.6004293966498,511.34385345542336,27.50660504675615,24.70187393526405,5.9625212947189095,3.555334086234101,0.5031428571428571,suj_1,0.5714285714285714,3.5,15.75,9.161369290154202
1.0,1247.0,15.332197614991484,37.478705281090285,1001.657510911414,438.29473153322,23.57709004007669,21.173034801654907,5.110732538330495,3.0474292167720867,0.5870000000000001,suj_1,0.7142857142857143,3.0,13.5,7.852602248703602
1.0,1247.0,12.776831345826237,31.23225440090857,834.7145924261782,365.2456096110167,19.64757503339725,17.644195668045754,4.258943781942078,2.539524347310072,0.7043999999999999,suj_1,0.7142857142857143,2.5,11.25,6.543835207253002
1.0,1247.0,10.22146507666099,24.985803520726854,667.7716739409427,292.19648768881336,15.7180600267178,14.115356534436602,3.4071550255536622,2.0316194778480576,0.8805,suj_1,1.0,2.0,9.0,5.235068165802401
2.0,8394.0,26.69039145907473,50.41518386714117,1689.7184057087784,887.4266979537367,44.38707851007451,49.56786985256738,6.354855109303508,8.027236508632864,0.3372,suj_1,0.5714285714285714,5.0,21.0,9.544713075757734
2.0,8394.0,24.021352313167267,45.37366548042704,1520.7465651379007,798.684028158363,39.948370659067066,44.61108286731064,5.719369598373157,7.224512857769578,0.3746666666666666,suj_1,0.5714285714285714,4.5,18.9,8.59024176818196
2.0,8394.0,21.352313167259787,40.33214709371293,1351.7747245670228,709.9413583629894,35.50966280805961,39.6542958820539,5.083884087442806,6.4217892069062925,0.4215,suj_1,0.5714285714285714,4.0,16.8,7.635770460606187
