,phonemic_rate,syllabic_rate,phonemic_info,syllabic_info,static_surp,peak_env
0,8.31024930747923,2.77008310249307,155.959753739612,10.4267217451524,15.6750429496585,3
10,8.02139037433155,2.67379679144385,94.4855550802139,10.255346657754,19.3751752207998,3
20,5.26315789473684,2.63157894736842,97.7938848684211,27.6502657894737,15.3434457277097,3.2
30,8.31024930747923,2.77008310249307,186.320552908587,10.8261286703601,17.0502130658228,3.2
40,8.45070422535211,2.8169014084507,205.106022535211,10.9250385915493,18.0589478758004,2.8
50,5.79710144927536,2.89855072463768,150.413053623188,14.9858876811594,14.5694341520418,2.3
60,8.19672131147541,2.73224043715847,183.021836065574,5.55489057377049,16.9305834582986,3
70,7.67263427109974,2.55754475703325,151.429538363171,12.7576764705882,16.1844916591907,3.4
80,8.35073068893528,2.08768267223382,196.32806263048,8.27406816283925,17.2235034732404,3.2
90,7.97872340425532,2.65957446808511,149.042201994681,12.9194482712766,15.199888458322,4
100,9.63855421686747,2.40963855421687,159.267052891566,20.8885193975904,15.2842401876426,4.1
110,8.58369098712446,2.14592274678112,190.736022424893,5.38183487124464,15.7039887754617,3.9
120,6.30252100840336,2.10084033613445,153.762403256303,28.1199348739496,12.4417374705797,4
130,7.85340314136125,2.61780104712042,106.953725,5.087225,17.5871564602854,4.1
140,8.24175824175824,2.74725274725275,147.384808928571,6.99618832417583,17.4031895969694,4.1
150,7.75193798449612,2.58397932816537,116.484804780362,17.0026028423773,15.6763996764351,4
160,7.57575757575758,2.52525252525252,106.050555429293,8.49749835858586,18.5524965673332,3.8
170,9.70873786407767,2.42718446601942,177.222942839806,10.4893305825243,17.0529670181471,3.8
180,7.89473684210526,2.63157894736842,125.839822236842,4.733935,17.2846783194598,4.1
190,8.35654596100279,2.78551532033426,160.20002632312,8.65615724233983,16.9785394355364,3.8
200,7.93650793650794,2.64550264550265,79.8749873015873,15.0977162698413,16.1467433363794,4
210,7.8125,2.60416666666667,72.6447360677083,9.842543359375,17.3304168305037,3.6
220,9.7323600973236,2.4330900243309,193.667470681265,11.5121648418491,18.0831816924895,3.7
230,9.68523002421308,2.42130750605327,134.690217070218,21.0503042372881,14.5447509436928,3.9
