vitesse,phon_rate,syll_rate,phir_rate,syir_rate,stat_surp,ctxt_surp,vois_phon,puni_phon,duration,peak_env,isolation_point,suj_id
1.0,12.492901760363429,5.110732538330495,1.4609824384440668,3.3388583697047136,7.8590300133589,1.0158097389240288,7.057678267218301,1.7035775127768311,0.44025,4.5,3.0413130503186023,1
1.0,10.083036773428233,5.338078291814947,1.7748533959074735,3.379436811417557,8.877415702014902,1.6054473017265731,9.913573970513475,1.2709710218607015,0.4215,4.2,4.156149967217669,1
1.0,11.848341232227488,5.924170616113742,1.5942385284360188,3.3397307659063977,8.211403346773798,2.3730619931229926,11.340555179417741,1.5233581584292484,0.42200000000000004,4.9,4.041635058685115,1
1.0,13.390139987827144,6.086427267194157,1.759969093122337,2.619614133384053,8.015132994883416,1.7445346199712164,10.25997739327015,1.912877141118164,0.41075,4.6,4.237356114774457,1
1.0,12.263099219620957,6.131549609810477,1.980234724414716,3.5705215598104796,9.062651408493805,1.159463248806257,9.555661729574773,1.7518713170887086,0.4485,4.0,2.6921263344296293,1
1.0,13.95812562313061,4.985044865403789,1.8521169548853444,3.4887679152093733,8.840163506635223,2.582485879186649,7.976071784646063,1.7803731662156392,0.5015,4.1000000000000005,2.3079899633392884,1
1.0,10.271903323262839,5.4380664652567985,1.384296966465257,2.977099714500001,8.57824847674258,2.1079109159441045,8.200258955545966,1.3810962451445836,0.41375,5.0,3.739433172150583,1
1.0,10.957324106113033,4.61361014994233,1.4579613739619381,3.2324641179354097,8.317873617661947,3.548449203963381,9.5567638820234,1.5653320151590049,0.4335,5.1,3.9366029922919563,1
1.0,13.493253373313346,4.997501249375314,1.4189688288355824,3.0653447761316848,8.669901212816809,1.47240377761571,6.710930249161133,1.7134289997858214,0.50025,4.8,3.983368272064521,1
1.0,13.505908835115365,4.501969611705121,1.7460038207653343,3.6503304086803596,8.449263935685806,1.5425445352103817,8.60197765093657,1.5274539753999519,0.44425,4.3,3.025051450306599,1
1.0,10.615711252653925,5.307855626326964,1.6520371133227174,3.300635466295116,8.626501624205195,0.7885961408777548,9.099181073703368,1.5165301789505605,0.47100000000000003,4.9,3.348470674480087,1
1.0,12.18274111675127,5.5837563451776635,1.7479864314720814,2.8883699164974628,9.144892608269734,3.0138803775436847,7.976794778825236,1.5953589557650474,0.4925,4.6,2.3939752442898032,1
1.0,12.048192771084334,5.737234652897304,1.8517252753872628,3.434451829271379,8.293310254806379,2.2427457678835943,11.146627325629044,1.7211703958691909,0.43575,4.8,3.23291919086449,1
