"","nb_syll.s","nb_phon.s","syll_fl.s","phon_fl.s","log_freqlex.s","ctx_surp","peak_env"
"1",0.276476298090361,0.490770318156905,0.361602397911836,0.0535160938347095,0.185475862969438,18.6342233781961,0.0671298647412891
"2",0.0757578927889888,0.00114211629558767,0.323933056811321,0.262360369447554,0.0401306642938693,19.4729131973281,0.0229258661111796
"3",0.158758052029702,0.137532407447638,0.120782712284574,0.353989004242766,0.00304631371402869,17.7698043720474,0.0141439047880672
"4",0.271762152082079,0.571527582524242,0.477190397215681,0.426446001882428,0.113198884747298,17.0754489335748,0.169352744586673
"5",0.0236833460187203,0.0468062498905313,0.0697665963945257,0.290775934522348,0,18.2484486752142,0.00125958149598508
"6",0.00404375187773165,0.00688142085702239,0.0503756706940574,0.0739171029420622,0,21.4974614660792,0
"7",0,0,0,0,0,16.3774526676631,0
"8",0.0182304510413972,0.0097894299896956,0.0953365374210625,0.0572048392977176,0.00917982910966096,17.3448399153112,0.0752404597846589
"9",0,0.00269577816492188,0.00703039213538642,0.0375341923274621,0,20.1696849778496,0
"10",0,0,0,0,0,16.6710495799085,0
"11",0.000832805281783435,0,0.0182912799889723,0.0402784946110352,0,16.9373840166973,0
"12",0.0195209026664089,0.00595151429538268,0.112006923140389,0.00363038221141877,0,19.4921162520417,0
"13",0,0.0534539558744576,0.0520480460549173,0.0446548989558604,0,17.4585890609178,0
"14",0.008466819934319,0.00165345621368714,0.173636624749417,0.161266925708708,0,17.8715936007339,0
"15",0.00149839997732694,0.0083714135422191,0.0750799566163887,0.194380090994163,0,18.2680924422541,0
"16",0.000421324623387431,0,0.00151845241258971,0,0,16.5238038327459,0
"17",0.0870121220553303,0.0107712204502934,0.0952951014201421,0.15056823825347,0.0293785963535252,16.9391479893794,0.165066970702515
"18",0.0808824965517861,0.0123199886854063,0.147473510629699,0.298496431471281,0.00679813085914793,17.1144286345071,0.00224178474011531
"19",0,0.000870021720660438,0,0.0444038995228538,0,20.0263022442166,0
"20",0.00296210917512822,0.0606812049660449,0.0544587226765469,0.00265096394228393,0,17.3116495111371,0
"21",0,0.0778438689143826,0.0681502199761844,0.00949281518558963,0,18.1702993424076,0
