trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env
1.0,1247.0,25.55366269165248,62.46450880181714,16.69429184852357,7.304912192220334,39.2951500667945,35.28839133609151,8.517887563884155,5.079048694620144,0.3522,suj_1,0.5714285714285714,5.0,22.5
1.0,1247.0,22.99829642248723,56.21805792163543,15.024862663671211,6.5744209729983005,35.365635060115046,31.759552202482357,7.66609880749574,4.57114382515813,0.3913333333333333,suj_1,0.42857142857142855,4.5,20.25
1.0,1247.0,20.44293015332198,49.971607041453716,13.355433478818854,5.843929753776267,31.4361200534356,28.230713068873204,6.8143100511073245,4.063238955696115,0.44025,suj_1,0.42857142857142855,4.0,18.0
1.0,1247.0,17.887563884156734,43.725156161272004,11.686004293966498,5.113438534554233,27.50660504675615,24.70187393526405,5.9625212947189095,3.555334086234101,0.5031428571428571,suj_1,0.5714285714285714,3.5,15.75
1.0,1247.0,15.332197614991484,37.478705281090285,10.016575109114141,4.3829473153322,23.57709004007669,21.173034801654907,5.110732538330495,3.0474292167720867,0.5870000000000001,suj_1,0.7142857142857143,3.0,13.5
1.0,1247.0,12.776831345826235,31.23225440090857,8.347145924261783,3.652456096110167,19.64757503339725,17.644195668045754,4.258943781942078,2.539524347310072,0.7043999999999999,suj_1,0.7142857142857143,2.5,11.25
1.0,1247.0,10.22146507666099,24.985803520726858,6.677716739409427,2.9219648768881337,15.7180600267178,14.115356534436602,3.4071550255536622,2.0316194778480576,0.8805,suj_1,1.0,2.0,9.0
2.0,8394.0,26.690391459074732,50.415183867141174,16.897184057087784,8.874266979537367,44.38707851007451,49.567869852567384,6.354855109303508,8.027236508632864,0.3372,suj_1,0.5714285714285714,5.0,21.0
2.0,8394.0,24.02135231316727,45.373665480427036,15.207465651379007,7.98684028158363,39.948370659067066,44.611082867310635,5.719369598373157,7.224512857769578,0.37466666666666665,suj_1,0.5714285714285714,4.5,18.9
2.0,8394.0,21.352313167259787,40.33214709371293,13.517747245670227,7.099413583629894,35.50966280805961,39.6542958820539,5.083884087442806,6.4217892069062925,0.4215,suj_1,0.5714285714285714,4.0,16.8
2.0,8394.0,18.683274021352318,35.29062870699883,11.828028839961446,6.211986885676157,31.07095495705216,34.69750889679716,4.448398576512456,5.619065556043005,0.4817142857142857,suj_1,1.0,3.5,14.7
2.0,8394.0,16.014234875444842,30.2491103202847,10.138310434252672,5.324560187722419,26.632247106044712,29.740721911540426,3.8129130655821046,4.816341905179719,0.5619999999999999,suj_1,1.0,3.0,12.6
2.0,8394.0,13.345195729537366,25.20759193357059,8.448592028543892,4.437133489768684,22.193539255037255,24.783934926283692,3.1774275546517536,4.013618254316432,0.6744,suj_1,1.0,2.5,10.5
2.0,8394.0,10.676156583629894,20.166073546856467,6.758873622835114,3.549706791814947,17.754831404029805,19.82714794102695,2.541942043721403,3.2108946034531463,0.843,suj_1,1.0,2.0,8.4
3.0,12885.0,29.62085308056871,59.24170616113744,16.698653829531988,7.9711926421800925,41.05701673386899,56.7027758970887,7.616790792146242,11.865309965614962,0.3376,suj_1,0.2857142857142857,5.0,24.5
